team,rating
Argentina,2214
Spain,2210
France,2198
Brazil,2116
England,2109
Colombia,2079
Portugal,2055
Mexico,2047
Netherlands,2046
Morocco,2027
Norway,2002
Germany,1990
Switzerland,1979
Japan,1976
Croatia,1968
Belgium,1966
Ecuador,1963
Italy,1926
Turkey,1926
Denmark,1925
Uruguay,1924
Paraguay,1914
Australia,1913
Austria,1908
Senegal,1902
Algeria,1898
Iran,1887
United States,1884
Yugoslavia,1882
Canada,1871
Egypt,1846
Ukraine,1845
Nigeria,1843
Russia,1843
South Korea,1842
Ivory Coast,1835
Scotland,1823
DR Congo,1812
Venezuela,1812
Greece,1805
Jersey,1803
Chile,1802
Serbia,1799
Sweden,1798
Czechoslovakia,1797
Basque Country,1797
Panama,1775
Peru,1774
Kosovo,1770
Hungary,1768
Poland,1764
Republic of Ireland,1755
Czech Republic,1754
Wales,1745
Costa Rica,1745
Guernsey,1744
Slovenia,1740
German DR,1737
Uzbekistan,1732
Slovakia,1729
Occitania,1724
Bolivia,1722
Jordan,1721
Mali,1719
Northern Cyprus,1718
Honduras,1714
Cameroon,1712
Georgia,1711
Iraqi Kurdistan,1710
Isle of Man,1708
Padania,1706
Saudi Arabia,1706
Romania,1702
Ghana,1695
Cape Verde,1695
Israel,1693
South Africa,1688
New Zealand,1680
Albania,1679
Bosnia and Herzegovina,1678
Tunisia,1676
Iraq,1675
Haiti,1668
United Arab Emirates,1667
Burkina Faso,1667
Jamaica,1662
Isle of Wight,1660
Northern Ireland,1660
Catalonia,1655
North Macedonia,1652
Guatemala,1649
Ynys Môn,1639
Abkhazia,1637
Iceland,1631
County of Nice,1628
Kárpátalja,1618
Syria,1604
Curaçao,1601
Suriname,1597
Andalusia,1594
Kernow,1594
New Caledonia,1594
Finland,1592
Rhodes,1591
Panjab,1590
Palestine,1590
Belarus,1588
Réunion,1582
Tamil Eelam,1581
Angola,1580
Guinea,1579
Chameria,1575
Oman,1574
Kurdistan,1566
Artsakh,1566
Menorca,1564
Zanzibar,1559
Arameans Suryoye,1556
Corsica,1556
Zambia,1555
Ellan Vannin,1554
China,1553
Yorkshire,1552
Quebec,1546
Benin,1545
Trinidad and Tobago,1544
Cascadia,1544
Bahrain,1543
Gabon,1543
Qatar,1542
Gambia,1540
Guadeloupe,1533
Bulgaria,1531
Libya,1530
Uganda,1529
Thailand,1529
Galicia,1529
Maule Sur,1528
Western Armenia,1526
Asturias,1520
Surrey,1516
Montenegro,1516
Canary Islands,1516
Biafra,1515
Felvidék,1514
Kazakhstan,1513
Elba Island,1513
Parishes of Jersey,1513
Donetsk PR,1512
Madagascar,1510
Mapuche,1508
Tahiti,1506
Silesia,1506
United Koreans in Japan,1505
Indonesia,1505
Crimea,1504
Brittany,1502
Mozambique,1501
Nicaragua,1501
Shetland,1500
Niger,1500
Délvidék,1498
El Salvador,1496
Togo,1496
Central Spain,1495
North Korea,1493
Saugeais,1493
South Ossetia,1491
Cilento,1491
Guyana,1491
Malaysia,1490
Luhansk PR,1490
Madrid,1489
Matabeleland,1486
Seborga,1486
North Vietnam,1486
Sealand,1483
Yoruba Nation,1483
Zimbabwe,1482
Sudan,1482
Comoros,1481
Republic of St. Pauli,1480
Dominican Republic,1475
Somaliland,1474
Ryūkyū,1474
Martinique,1474
Kuwait,1474
Sierra Leone,1474
West Papua,1473
Kenya,1473
Sápmi,1472
Åland Islands,1472
Franconia,1471
Székely Land,1471
Romani people,1469
South Yemen,1468
Greenland,1464
Aymara,1463
Vietnam,1462
Luxembourg,1462
Provence,1461
Hmong,1460
Kabylia,1456
Mayotte,1455
East Turkestan,1453
Kyrgyzstan,1453
Chechnya,1451
Equatorial Guinea,1449
Mauritania,1448
Saarland,1447
Papua New Guinea,1447
Rwanda,1446
Lebanon,1442
Gotland,1442
Tajikistan,1440
Liberia,1440
Malawi,1438
Monaco,1436
Namibia,1433
Vanuatu,1433
Western Isles,1433
Faroe Islands,1433
Manchukuo,1430
Găgăuzia,1429
Armenia,1429
Niue,1426
French Guiana,1425
Gozo,1420
Palau,1420
Lesotho,1418
Marshall Islands,1416
Fiji,1414
Estonia,1413
Saint Barthélemy,1412
Tanzania,1411
Cuba,1409
Vatican City,1408
Ticino,1405
Botswana,1401
Orkney,1397
Western Sahara,1396
Ethiopia,1396
Azerbaijan,1394
Western Australia,1394
Burundi,1393
Two Sicilies,1384
Turkmenistan,1384
Raetia,1378
Guinea-Bissau,1376
Central African Republic,1364
Cyprus,1363
Barawa,1359
Chagos Islands,1358
Solomon Islands,1358
Saint Vincent and the Grenadines,1354
Puerto Rico,1352
Yemen DPR,1351
Philippines,1349
Saint Helena,1344
Hitra,1343
Malta,1343
Saare County,1340
Bermuda,1336
Lithuania,1335
Vietnam Republic,1332
Latvia,1328
Congo,1328
Sark,1327
Moldova,1326
Micronesia,1324
Eswatini,1318
Ambazonia,1312
Saint Martin,1309
Singapore,1307
Yemen,1305
Hong Kong,1302
Sint Maarten,1296
Wallis Islands and Futuna,1293
Saint Pierre and Miquelon,1288
Grenada,1287
Belize,1284
South Sudan,1269
Tibet,1266
Saint Kitts and Nevis,1265
Chad,1248
Samoa,1231
Kiribati,1229
Montserrat,1228
India,1221
Saint Lucia,1215
Falkland Islands,1214
Tuvalu,1212
Mauritius,1207
Aruba,1205
Eritrea,1201
Darfur,1201
Frøya,1194
São Tomé and Príncipe,1183
Dominica,1163
Afghanistan,1153
Cook Islands,1138
Andorra,1136
Myanmar,1133
Bangladesh,1129
Gibraltar,1128
Barbados,1120
Bonaire,1115
Pakistan,1107
Antigua and Barbuda,1099
Djibouti,1089
Nepal,1084
Alderney,1075
Cambodia,1070
Tonga,1063
Somalia,1062
Taiwan,1038
Cayman Islands,1028
British Virgin Islands,1021
Sri Lanka,1016
Seychelles,1010
Maldives,978
Turks and Caicos Islands,975
Mongolia,971
Liechtenstein,966
United States Virgin Islands,963
Northern Mariana Islands,962
Guam,958
Bahamas,943
Laos,933
American Samoa,924
Timor-Leste,909
San Marino,896
Anguilla,891
Brunei,888
Bhutan,849
Macau,816
